,monthly_trips_per_vehicle_on_road
2010-01-01,1070.0839684329198
2010-02-01,755.3269164407197
2010-03-01,900.5145530657472
2010-04-01,1094.751778478163
2010-05-01,1110.6371928770006
2010-06-01,1062.1809996242016
2010-07-01,1030.2703840084166
2010-08-01,943.5750860232672
2010-09-01,1224.8908272645444
2010-10-01,1063.9783175741768
2010-11-01,1085.3615372155175
2010-12-01,1027.6949483628212
2011-01-01,956.9601031411158
2011-02-01,1025.5848185316531
2011-03-01,1169.9548464780253
2011-04-01,1014.198428807698
2011-05-01,1121.1141072906478
2011-06-01,1090.762333458788
2011-07-01,1057.0092313489074
2011-08-01,916.930424971794
2011-09-01,1054.543378652445
2011-10-01,1136.8643446929889
2011-11-01,1054.098505893836
2011-12-01,1080.399234406665
2012-01-01,1062.278463617932
2012-02-01,1090.038184275738
2012-03-01,1176.8015315315315
2012-04-01,1123.1768150762068
2012-05-01,1130.424765478424
2012-06-01,1098.210688568857
2012-07-01,1034.1129729729728
2012-08-01,1037.878194924163
2012-09-01,1051.661064404744
2012-10-01,1026.1560924369749
2012-11-01,975.1520714500152
2012-12-01,1054.8440356661172
2013-01-01,1067.7956834532374
2013-02-01,1011.2469635627532
2013-03-01,1146.5585270736462
2013-04-01,1097.545222213895
2013-05-01,1112.8060746962651
2013-06-01,1045.1395547560153
2013-07-01,996.972897126135
2013-08-01,847.9981078239977
2013-09-01,1022.058695652174
2013-10-01,1092.3970376481177
2013-11-01,1046.3584058188362
2013-12-01,1005.4577118897874
2014-01-01,984.4602124794256
2014-02-01,938.2058761961722
2014-03-01,1110.685165897932
2014-04-01,1044.8813220940551
2014-05-01,1049.2167807967012
2014-06-01,974.6800747198008
2014-07-01,911.7191667277928
2014-08-01,883.3920863309353
2014-09-01,940.7577929215212
2014-10-01,1004.5152799121844
2014-11-01,930.1120656795192
2014-12-01,910.8172995162
2015-01-01,871.7654368077458
2015-02-01,871.8294117647058
2015-03-01,941.612875441696
2015-04-01,927.433077999558
2015-05-01,928.308711340206
2015-06-01,873.2698206509706
2015-07-01,801.8080800593032
2015-08-01,774.575286415712
2015-09-01,780.4788795351262
2015-10-01,872.1865138434058
2015-11-01,797.509562109026
2015-12-01,803.8447538908332
2016-01-01,748.6007642166779
2016-02-01,815.0100457305645
2016-03-01,874.3862919500709
2016-04-01,859.8236350037397
2016-05-01,844.7491816755102
2016-06-01,797.8939568668565
2016-07-01,714.7977582186113
2016-08-01,699.5893660531698
2016-09-01,709.6909995442807
2016-10-01,775.2004849219579
2016-11-01,726.7520936241355
2016-12-01,740.7031143441691
2017-01-01,683.6442410782662
2017-02-01,661.619202591193
2017-03-01,741.3529638183218
2017-04-01,730.042331099299
2017-05-01,728.2001232950605
2017-06-01,698.972855591748
2017-07-01,608.574124452783
2017-08-01,603.7244444444444
2017-09-01,643.1613384955753
2017-10-01,721.7936235534913
2017-11-01,687.6049637566971
2017-12-01,693.9268584942845
2018-01-01,623.4865465513136
2018-02-01,628.8992794235388
2018-03-01,704.6291306804422
2018-04-01,701.9666989977368
2018-05-01,693.2272144190955
2018-06-01,653.3263786614302
2018-07-01,579.9910850148859
2018-08-01,584.2173062452972
2018-09-01,598.1464479053885
2018-10-01,681.3793654758931
2018-11-01,629.4423920321393
2018-12-01,620.49027475289
2019-01-01,575.1996292238982
2019-02-01,535.2342664985288
2019-03-01,595.9549529885829
2019-04-01,571.7446461903953
2019-05-01,580.3467020275473
2019-06-01,535.5626896731119
2019-07-01,480.90453985571
2019-08-01,466.32252380528615
2019-09-01,514.4085029198371
2019-10-01,578.9431898066783
2019-11-01,545.6845070422535
2019-12-01,532.8255967938666
2020-03-01,548.4930958027777
2020-04-01,531.6451061124902
2020-05-01,534.4582539329455
2020-06-01,488.5995838048626
2020-07-01,426.41684590222997
2020-08-01,420.41966841440154
2020-09-01,450.1876726336077
2020-10-01,523.9591253698472
2020-11-01,480.92773594605944
2020-12-01,468.85698325997606
2021-01-01,427.41113569571075
2021-02-01,393.7680548959726
2021-03-01,461.23875594902586
2021-04-01,439.1055890904561
2021-05-01,446.108356826755
2021-06-01,400.39117289854886
2021-07-01,343.2734670212251
2021-08-01,331.6314139824247
2021-09-01,372.97598212619397
2021-10-01,440.8122087274891
2021-11-01,431.3897209985316
2021-12-01,380.8713086276781
2022-01-01,277.41814219149256
2022-02-01,365.31559251559247
2022-03-01,437.525744558992
2022-04-01,430.8204452006238
2022-05-01,418.2583718002517
2022-06-01,332.51840575698867
2022-07-01,352.2476802683063
2022-08-01,356.1815594922584
2022-09-01,349.93299877933
2022-10-01,409.7294218585005
2022-11-01,334.9218998048146
2022-12-01,364.720831728918
2023-01-01,294.29216208605675
2023-02-01,297.33620340062043
2023-03-01,366.7111617150475
2023-04-01,349.5387891201591
2023-05-01,350.8392345214501
2023-06-01,298.234083104215
2023-07-01,252.55417090466855
2023-08-01,245.14497479273908
2023-09-01,274.14759844199614
2023-10-01,342.41259741408993
2023-11-01,307.1865612807524
2023-12-01,288.7092404807752
2024-01-01,212.0507593963603
2024-02-01,241.38407169761015
2024-03-01,311.6987739666864
2024-04-01,297.7130902937704
2024-05-01,294.8100962238118
2024-06-01,232.1539297730918
2024-07-01,206.31555909769256
2024-08-01,202.34722574747136
2024-09-01,220.65660306594975
2024-10-01,286.35270762432043
2024-11-01,239.119851987435
2024-12-01,235.28685896171248
